"st","lat","long","y","x","year","month","day","weekno","weekday","hr","min","pixel"
1,12.969,77.6018,381,597,2016,2,13,2,5,16,0,3
1,12.969,77.6018,381,598,2016,2,13,2,5,16,0,3
1,12.969,77.6018,381,599,2016,2,13,2,5,16,0,3
1,12.969,77.6019,381,600,2016,2,13,2,5,16,0,3
1,12.969,77.6016,382,587,2016,2,13,2,5,16,0,3
1,12.969,77.6016,382,588,2016,2,13,2,5,16,0,3
1,12.969,77.6016,382,590,2016,2,13,2,5,16,0,2
1,12.969,77.6017,382,593,2016,2,13,2,5,16,0,2
1,12.969,77.6028,382,644,2016,2,13,2,5,16,0,2
1,12.969,77.6028,382,645,2016,2,13,2,5,16,0,2
1,12.969,77.6016,383,587,2016,2,13,2,5,16,0,3
1,12.969,77.6016,383,588,2016,2,13,2,5,16,0,3
1,12.969,77.6018,383,595,2016,2,13,2,5,16,0,1
1,12.969,77.6028,383,644,2016,2,13,2,5,16,0,2
1,12.969,77.6028,383,645,2016,2,13,2,5,16,0,2
1,12.969,77.6029,383,646,2016,2,13,2,5,16,0,2
1,12.9689,77.6016,384,586,2016,2,13,2,5,16,0,3
1,12.9689,77.6016,384,587,2016,2,13,2,5,16,0,3
1,12.9689,77.6016,384,588,2016,2,13,2,5,16,0,3
1,12.9689,77.6028,384,645,2016,2,13,2,5,16,0,2
1,12.9689,77.6029,384,646,2016,2,13,2,5,16,0,2
1,12.9689,77.6015,385,583,2016,2,13,2,5,16,0,1
1,12.9689,77.6016,385,587,2016,2,13,2,5,16,0,3
1,12.9689,77.6016,385,589,2016,2,13,2,5,16,0,2
1,12.9689,77.6028,385,644,2016,2,13,2,5,16,0,2
1,12.9689,77.6028,385,645,2016,2,13,2,5,16,0,2
1,12.9689,77.6015,386,582,2016,2,13,2,5,16,0,2
1,12.9689,77.6015,386,584,2016,2,13,2,5,16,0,2
1,12.9689,77.6016,386,586,2016,2,13,2,5,16,0,3
1,12.9689,77.6028,386,643,2016,2,13,2,5,16,0,2
1,12.9689,77.6028,386,644,2016,2,13,2,5,16,0,2
1,12.9689,77.6028,386,645,2016,2,13,2,5,16,0,2
1,12.9689,77.6014,387,578,2016,2,13,2,5,16,0,1
1,12.9689,77.6016,387,586,2016,2,13,2,5,16,0,3
1,12.9689,77.6028,387,644,2016,2,13,2,5,16,0,2
1,12.9689,77.6028,387,645,2016,2,13,2,5,16,0,2
1,12.9689,77.6029,387,646,2016,2,13,2,5,16,0,2
1,12.9688,77.6014,388,580,2016,2,13,2,5,16,0,1
1,12.9688,77.6015,388,581,2016,2,13,2,5,16,0,1
1,12.9688,77.6015,388,582,2016,2,13,2,5,16,0,1
1,12.9688,77.6015,388,583,2016,2,13,2,5,16,0,1
1,12.9688,77.6015,388,584,2016,2,13,2,5,16,0,1
1,12.9688,77.6016,388,589,2016,2,13,2,5,16,0,1
1,12.9688,77.6028,388,644,2016,2,13,2,5,16,0,2
1,12.9688,77.6013,389,575,2016,2,13,2,5,16,0,1
1,12.9688,77.6014,389,578,2016,2,13,2,5,16,0,2
1,12.9688,77.6015,389,583,2016,2,13,2,5,16,0,1
1,12.9688,77.6015,389,584,2016,2,13,2,5,16,0,1
1,12.9688,77.6015,389,585,2016,2,13,2,5,16,0,1
1,12.9688,77.6016,389,586,2016,2,13,2,5,16,0,1
1,12.9688,77.6028,389,642,2016,2,13,2,5,16,0,2
1,12.9688,77.6028,389,643,2016,2,13,2,5,16,0,2
1,12.9688,77.6028,389,644,2016,2,13,2,5,16,0,2
1,12.9688,77.6015,390,581,2016,2,13,2,5,16,0,2
1,12.9688,77.6015,390,583,2016,2,13,2,5,16,0,2
1,12.9688,77.6028,390,643,2016,2,13,2,5,16,0,2
1,12.9688,77.6028,390,644,2016,2,13,2,5,16,0,2
1,12.9688,77.6028,390,645,2016,2,13,2,5,16,0,2
1,12.9688,77.6027,391,641,2016,2,13,2,5,16,0,2
1,12.9688,77.6028,391,643,2016,2,13,2,5,16,0,2
1,12.9688,77.6028,391,645,2016,2,13,2,5,16,0,2
1,12.9687,77.6028,393,642,2016,2,13,2,5,16,0,2
1,12.9687,77.6028,393,643,2016,2,13,2,5,16,0,2
1,12.9687,77.6029,393,646,2016,2,13,2,5,16,0,2
1,12.9687,77.6028,394,643,2016,2,13,2,5,16,0,2
1,12.9687,77.6028,394,645,2016,2,13,2,5,16,0,2
1,12.9687,77.6029,394,646,2016,2,13,2,5,16,0,2
1,12.9687,77.6029,394,649,2016,2,13,2,5,16,0,2
1,12.9687,77.6028,395,643,2016,2,13,2,5,16,0,2
1,12.9687,77.6028,395,644,2016,2,13,2,5,16,0,2
1,12.9687,77.6028,395,645,2016,2,13,2,5,16,0,2
1,12.9687,77.6029,395,646,2016,2,13,2,5,16,0,2
1,12.9687,77.6029,395,647,2016,2,13,2,5,16,0,2
1,12.9687,77.6029,395,648,2016,2,13,2,5,16,0,2
1,12.9687,77.6029,395,649,2016,2,13,2,5,16,0,2
1,12.9687,77.6028,396,645,2016,2,13,2,5,16,0,2
1,12.9687,77.6029,396,646,2016,2,13,2,5,16,0,2
1,12.9687,77.6029,396,647,2016,2,13,2,5,16,0,2
1,12.9687,77.6029,396,648,2016,2,13,2,5,16,0,2
1,12.9687,77.6029,396,649,2016,2,13,2,5,16,0,2
1,12.9687,77.6029,396,650,2016,2,13,2,5,16,0,2
1,12.9687,77.603,396,651,2016,2,13,2,5,16,0,2
1,12.9687,77.6028,397,645,2016,2,13,2,5,16,0,2
1,12.9687,77.6029,397,646,2016,2,13,2,5,16,0,2
1,12.9687,77.6029,397,648,2016,2,13,2,5,16,0,2
1,12.9687,77.6029,397,649,2016,2,13,2,5,16,0,2
1,12.9687,77.6029,397,650,2016,2,13,2,5,16,0,2
1,12.9687,77.603,397,651,2016,2,13,2,5,16,0,2
1,12.9687,77.603,397,652,2016,2,13,2,5,16,0,2
1,12.9686,77.6029,398,648,2016,2,13,2,5,16,0,2
1,12.9686,77.603,398,651,2016,2,13,2,5,16,0,2
1,12.9686,77.603,398,652,2016,2,13,2,5,16,0,2
1,12.9686,77.603,399,651,2016,2,13,2,5,16,0,2
1,12.9685,77.6029,403,646,2016,2,13,2,5,16,0,1
1,12.9684,77.6029,407,648,2016,2,13,2,5,16,0,2
1,12.9684,77.603,408,653,2016,2,13,2,5,16,0,1
1,12.9684,77.6029,409,649,2016,2,13,2,5,16,0,1
1,12.9684,77.6029,409,650,2016,2,13,2,5,16,0,1
1,12.9684,77.6031,409,656,2016,2,13,2,5,16,0,1
1,12.9684,77.6029,410,649,2016,2,13,2,5,16,0,1
1,12.9684,77.6029,410,650,2016,2,13,2,5,16,0,1
1,12.9684,77.603,410,651,2016,2,13,2,5,16,0,1
1,12.9684,77.603,410,652,2016,2,13,2,5,16,0,1
1,12.9684,77.603,410,653,2016,2,13,2,5,16,0,1
1,12.9684,77.603,410,654,2016,2,13,2,5,16,0,1
1,12.9684,77.603,411,652,2016,2,13,2,5,16,0,1
1,12.9684,77.603,411,653,2016,2,13,2,5,16,0,1
1,12.9684,77.603,411,654,2016,2,13,2,5,16,0,1
1,12.9684,77.603,411,655,2016,2,13,2,5,16,0,1
1,12.9684,77.6031,411,656,2016,2,13,2,5,16,0,1
1,12.9684,77.6031,411,657,2016,2,13,2,5,16,0,1
1,12.9683,77.603,412,655,2016,2,13,2,5,16,0,1
1,12.9683,77.6031,412,656,2016,2,13,2,5,16,0,1
1,12.9683,77.6031,412,657,2016,2,13,2,5,16,0,1
1,12.9683,77.6031,412,658,2016,2,13,2,5,16,0,1
1,12.9683,77.603,413,652,2016,2,13,2,5,16,0,1
1,12.9683,77.6031,413,658,2016,2,13,2,5,16,0,1
1,12.9683,77.6031,414,656,2016,2,13,2,5,16,0,1
1,12.9683,77.6031,415,659,2016,2,13,2,5,16,0,1
1,12.9671,77.6012,470,567,2016,2,13,2,5,16,0,2
1,12.9671,77.6012,471,567,2016,2,13,2,5,16,0,2
1,12.9671,77.6012,471,568,2016,2,13,2,5,16,0,2
1,12.9671,77.6011,472,565,2016,2,13,2,5,16,0,2
1,12.9671,77.6012,472,567,2016,2,13,2,5,16,0,2
1,12.9671,77.6012,472,568,2016,2,13,2,5,16,0,2
1,12.9671,77.6011,473,565,2016,2,13,2,5,16,0,2
1,12.9671,77.6011,473,566,2016,2,13,2,5,16,0,2
1,12.9671,77.6012,473,567,2016,2,13,2,5,16,0,2
1,12.9671,77.6012,473,568,2016,2,13,2,5,16,0,2
1,12.967,77.6011,474,566,2016,2,13,2,5,16,0,2
1,12.967,77.6012,474,567,2016,2,13,2,5,16,0,2
1,12.967,77.6012,474,568,2016,2,13,2,5,16,0,2
